food,area_ratio,aspect_ratio,solidity,eccentricity,equiv_diameter,thickness,volume_proxy,roundness,compactness,elongation,fill_ratio,weight,log_weight
banana,0.40184169278668824,1.0114942499669706,0.7770533726809943,0.934727905758449,250.3476449860147,0.40184169278668824,25185.003489398543,0.4696621824075514,26.756190054897413,2.8140141437425714,0.7770533726809943,110.0,4.709530201312334
banana,0.48567041000446876,0.5794392509826186,0.7892673964512092,0.9302423043448586,256.1967442623781,0.48567041000446876,31877.837857217623,0.4885099501118363,25.72387852331169,2.725197737746895,0.7892673964512092,110.0,4.709530201312334
banana,0.49511019843348336,1.827586199019025,0.7803967439946738,0.9338169509802687,249.01924734292453,0.49511019843348336,30702.07331526882,0.468330743552198,26.83225644931624,2.795238893524082,0.7803967439946738,110.0,4.709530201312334
banana,0.49987702901602854,0.5327102791291816,0.7658973151080877,0.9322418373016402,249.2160207373941,0.49987702901602854,31046.674937362222,0.4691395161975895,26.78599900503651,2.763684393805793,0.7658973151080877,110.0,4.709530201312334
banana,0.48248121201948274,0.556603772272161,0.7771142516695568,0.9326859305336156,247.9329183070875,0.48248121201948274,29658.47326956493,0.48017561831421296,26.170363789412296,2.772467293745151,0.7771142516695568,110.0,4.709530201312334
banana,0.5953151239677552,2.219895276335627,0.7857201062470751,0.9333738171287916,247.75825251891595,0.5953151239677552,36542.913873718244,0.4757304885170309,26.41489439380083,2.7862470055403152,0.7857201062470751,110.0,4.709530201312334
banana,0.6337293975504962,0.3006535942799778,0.9034320365496902,0.9719370727992985,301.4335642076632,0.6337293975504962,57582.04322984924,0.43484646295690016,28.898408253633434,4.250959686288233,0.9034320365496902,185.0,5.225746673713202
banana,0.65178571427977,3.4606741378613814,0.8991369332079522,0.9735082109041939,301.6531295106813,0.65178571427977,59308.98722876191,0.42929898732562394,29.271838474302573,4.373457231085134,0.8991369332079522,185.0,5.225746673713202
banana,0.3368007728787075,0.892561981626938,0.8986396814749293,0.9728179596330342,299.4374759107398,0.3368007728787075,30198.50100526542,0.4318931573757941,29.096016918926274,4.318326388144713,0.8986396814749293,185.0,5.225746673713202
banana,0.5696142626569513,2.867924514773941,0.8896711339348852,0.9717330714682124,305.7491138400901,0.5696142626569513,53248.977050857065,0.4318784730741949,29.097006212725233,4.235811512158324,0.8896711339348852,185.0,5.225746673713202
banana,0.586891025636323,0.3205128199991782,0.8893799936749961,0.9723536608221902,305.3803484420408,0.586891025636323,54731.78864559401,0.4239647423006235,29.640131266555414,4.282415339536966,0.8893799936749961,185.0,5.225746673713202
banana,0.3546798760856962,0.7221172009033702,0.8976067326967451,0.9730130762968443,302.0875665925417,0.3546798760856962,32366.985235520468,0.42969323726612246,29.244981126838407,4.3336948180901,0.8976067326967451,185.0,5.225746673713202
banana,0.41696027073143943,1.9695945879405587,0.8940606361717935,0.9732544380214228,302.67916710912544,0.41696027073143943,38199.681026027036,0.418497647545177,30.02733871478255,4.352939079534062,0.8940606361717935,185.0,5.225746673713202
banana,0.5644268713731315,0.3464052281921483,0.8970869266844242,0.9726466917948718,305.3532464220754,0.5644268713731315,52627.50302181327,0.4369227366874543,28.761081900781836,4.304972816297093,0.8970869266844242,185.0,5.225746673713202
banana,0.5964240771759961,3.104166650499132,0.8989489212494541,0.9734577388562521,294.7856830447755,0.5964240771759961,51828.41667362369,0.4361045877334497,28.81503879488954,4.369352900536479,0.8989489212494541,185.0,5.225746673713202
banana,0.6764808490261423,0.2779552711214772,0.8999804577655913,0.9726580274138898,306.29831186901845,0.6764808490261423,63466.52396647717,0.44071293634955583,28.513732132009643,4.3058527446463986,0.8999804577655913,185.0,5.225746673713202
banana,0.6903834127032243,3.6390532329050105,0.8978016340615618,0.9723554939316723,302.2603241122983,0.6903834127032243,63074.3285217629,0.443440430690684,28.338351093979,4.2825553303186235,0.8978016340615618,185.0,5.225746673713202
